anton_rudnev,DC,Anton Rudnev,(*),Engineer
WaltMaddox,AL,Walter Maddox,(D),Governor (C)
kayiveyforgov,AL,Kay Ivey,(R),Governor (I)
MarkBegich,AK,Mark Begich,(D),Governor (C)
akgovbillwalker,AK,Bill Walker,(I),Governor (I)
mikedunleavygov,AK,Mike Dunleavy,(R),Governor (C)
dg4az,AZ,David Garcia,(D),Governor (C)
dougducey,AZ,Doug Ducey,(R),Governor (I)
JaredforGov,AR,Jared Henderson,(D),Governor (C)
asaforar,AR,Asa Hutchinson,(R),Governor (I)
gavinnewsom,CA,Gavin Newsom,(D),Governor (IP)
TheRealJohnHCox,CA,John Cox,(R),Governor (C)
JaredPolis,CO,Jared Polis,(D),Governor (IP)
walkerstapleton,CO,Walker Stapleton,(R),Governor (C)
nedlamont,CT,Ned Lamont,(D),Governor (IP)
bobforgovernor,CT,Bob Stefanowski,(R),Governor (C)
andrewgillum,FL,Andrew Gillum,(D),Governor (C)
rondesantisfl,FL,Ron DeSantis,(R),Governor (IP)
staceyabrams,GA,Stacey Abrams,(D),Governor (C)
briankempga,GA,Brian Kemp,(R),Governor (IP)
GovHawaii,HI,David Ige,(D),Governor (I)
votetupola,HI,Andria Tupola,(R),Governor (C)
PauletteEJordan,ID,Paulette Jordan,(D),Governor (C)
ltgovbradlittle,ID,Brad Little,(R),Governor (IP)
jbpritzker,IL,J.B. Pritzker,(D),Governor (C)
brucerauner,IL,Bruce Rauner,(R),Governor (I)
fredhubbell,IA,Fred Hubbell,(D),Governor (C)
kimreynoldsia,IA,Kim Reynolds,(R),Governor (I)
senatorkelly,KS,Laura Kelly,(D),Governor (C)
kriskobach1787,KS,Kris Kobach,(R),Governor (IP)
janetmillsforme,ME,Janet Mills,(D),Governor (C)
Moody4Gov,ME,Shawn Moody,(R),Governor (IP)
benjealous,MD,Ben Jealous,(D),Governor (C)
govlarryhogan,MD,Larry Hogan,(R),Governor (I)
jay4ma,MA,Jay Gonzalez,(D),Governor (C)
BakerPolito,MA,Charlie Baker,(R),Governor (I)
gretchenwhitmer,MI,Gretchen Whitmer,(D),Governor (C)
schuetteonduty,MI,Bill Schuette,(R),Governor (IP)
Tim_Walz,MN,Tim Walz,(D),Governor (IP)
MNJeffJohnson,MN,Jeff Johnson,(R),Governor (C)
bobkristne,NE,Bob Krist,(D),Governor (C)
RickettsForGov,NE,Pete Ricketts,(R),Governor (I)
stevesisolak,NV,Steve Sisolak,(D),Governor (C)
adamlaxalt,NV,Adam Laxalt,(R),Governor (IP)
NHMollyKelly,NH,Molly Kelly,(D),Governor (C)
ChrisSununu,NH,Chris Sununu,(R),Governor (I)
michelle4nm,NM,Michelle Lujan Grisham,(D),Governor (C)
repstevepearce,NM,Steve Pearce,(R),Governor (IP)
nygovcuomo,NY,Andrew Cuomo,(D),Governor (I)
marcmolinaro,NY,Marc Molinaro,(R),Governor (C)
RichCordray,OH,Richard Cordray,(D),Governor (C)
mikedewine,OH,Mike DeWine,(R),Governor (IP)
drewforoklahoma,OK,Drew Edmonson,(D),Governor (C)
StittforGov,OK,Kevin Stitt,(R),Governor (IP)
katebrownforor,OR,Kate Brown,(D),Governor (I)
knutebuehler,OR,Knute Buehler,(R),Governor (C)
GovernorTomWolf,PA,Tom Wolf,(D),Governor (I)
realScottWagner,PA,Scott Wagner,(R),Governor (C)
ginaraimondo,RI,Gina Raimondo,(D),Governor (I)
mayorfung,RI,Allan Fung,(R),Governor (C)
jamessmithforsc,SC,Jim Smith,(D),Governor (C)
henrymcmaster,SC,Henry McMaster,(R),Governor (I)
billiehsutton,SD,Billie Sutton,(D),Governor (C)
KristiNoem,SD,Kristi Noem,(R),Governor (IP)
karlfdean,TN,Karl Dean,(D),Governor (C)
billleetn,TN,Bill Lee,(R),Governor (IP)
LupeValdez,TX,Lupe Valdez,(D),Governor (C)
gregabbott_tx,TX,Greg Abbott,(R),Governor (I)
christineforvt,VT,Christine Hallquist,(D),Governor (C)
philscott4vt,VT,Phil Scott,(R),Governor (I)
Tony4WI,WI,Tony Evers,(D),Governor (C)
GovWalker,WI,Scott Walker,(R),Governor (I)
MaryforWyoming,WY,Mary Throne,(D),Governor (C)
mark_gordon_wy,WY,Mark Gordon,(R),Governor (IP)
